,UserID,CardNumbers,CardType
1,1,1228196929279265,VISA
2,2,3437953603852815,Discover
3,3,9651767055414247,Discover
4,4,6991729683680942,Discover
5,5,2108653081363434,American Express
6,6,1057061337419222,Discover
7,7,5693019599151875,VISA
8,8,2879372140274981,American Express
9,9,4994568241722056,Discover
10,10,7142478322594939,American Express
11,11,9893092786057515,VISA
12,12,6016684114018137,MASTERCARD
13,13,3465254563580613,VISA
14,14,4742634771174228,Discover
15,15,1326615684902948,Discover
16,16,8229360389412942,American Express
17,17,8539549314795179,MASTERCARD
18,18,4936356799454088,Discover
19,19,1896636917265052,VISA
20,20,2425261119209937,MASTERCARD
21,21,6086911295948092,VISA
22,22,7194040276257119,VISA
23,23,1825302996319444,VISA
24,24,7846870988339176,VISA
25,25,1052509587689970,VISA
26,26,5999899558569118,MASTERCARD
27,27,7482546384341530,VISA
28,28,8952222728593009,VISA
29,29,3524873013548393,Discover
30,30,5784434538213444,VISA
31,31,1084887634058600,Discover
32,32,9263630293543405,American Express
33,33,3826822817177547,American Express
34,34,5728298534883424,Discover
35,35,9868138821781531,MASTERCARD
36,36,9306957741263982,VISA
37,37,9537863341058842,VISA
38,38,1699782058230825,MASTERCARD
39,39,3805396976501769,VISA
40,40,2828193799164512,Discover
41,41,6028602179131669,Discover
42,42,1775835129804251,MASTERCARD
43,43,8584265577643269,MASTERCARD
44,44,5729653103370578,Discover
45,45,9415649273535616,Discover
46,46,9938507826745331,Discover
47,47,8842228924829987,American Express
48,48,2796710893032171,MASTERCARD
49,49,2856089974035118,American Express
50,50,1346544480915468,Discover
51,51,2202437592112222,American Express
52,52,6110887872065946,Discover
53,53,1252457312211728,American Express
54,54,9122994823921980,MASTERCARD
55,55,4634577467047731,VISA
56,56,4774583995567382,American Express
57,57,6389700771812275,American Express
58,58,3891906108374176,Discover
59,59,4863055334102814,MASTERCARD
60,60,6311260648286214,Discover
61,61,4502510528671832,American Express
62,62,1621762314634448,VISA
63,63,8770796821743143,VISA
64,64,3874673995071433,American Express
65,65,8617857975276363,VISA
66,66,4413642265504314,American Express
67,67,9049909982832842,VISA
68,68,2361075868738888,Discover
69,69,5424175030296863,VISA
70,70,7852737201772196,VISA
71,71,4803332930383707,VISA
72,72,8736680548711804,MASTERCARD
73,73,9008693800672534,VISA
74,74,2382176556575389,VISA
75,75,9157720252252502,MASTERCARD
76,76,6088502466466359,VISA
77,77,5374889105483895,American Express
78,78,8560008627096145,MASTERCARD
79,79,6698427764214122,VISA
80,80,7666158962719899,VISA
81,81,5364098555918657,VISA
82,82,3870904099088107,Discover
83,83,3995593741227500,VISA
84,84,2193169007310837,MASTERCARD
85,85,9273183053975732,VISA
86,86,5099216598834505,Discover
87,87,2560685535825710,American Express
88,88,4309661754570953,Discover
89,89,7271752431299907,VISA
90,90,2320823129926023,American Express
91,91,7367784995287024,American Express
92,92,4296655405507083,VISA
93,93,9948040327075399,VISA
